Name,Date_col,Species,Conc
swb,7/16/2020,Phosphate-P,0.086009799
swb,6/26/2020,Ammonium-N,0.228007943
swb,6/26/2020,Nitrate-N,1.790964514
swb,6/26/2020,Phosphate-P,0.051110449
swb,3/12/2020,Ammonium-N,0.190790641
swb,3/12/2020,Nitrate-N,4.510959072
swb,3/12/2020,Phosphate-P,0.144846031
swb,2/28/2020,Ammonium-N,0.035294957
swb,2/28/2020,Nitrate-N,3.63160499
swb,2/28/2020,Phosphate-P,0.070594401
swb,2/12/2020,Ammonium-N,0.040132643
swb,2/12/2020,Nitrate-N,3.776648685
swb,2/12/2020,Phosphate-P,0.079089356
swb,1/10/2020,Ammonium-N,0.004
swb,1/10/2020,Nitrate-N,3.996204167
swb,1/10/2020,Phosphate-P,0.127072865
swb,12/17/2019,Ammonium-N,0.004
