OBJECTID,FID_LULC_s,LANDUSE_CO,LANDUSE_DE,LEVEL1_LAN,LEVEL1_L_1,LEVEL2_LAN,LEVEL2_L_1,LANDCOVER_,LANDCOVER1,WATER_MANA,LANDUSE_YE,FID_waters,Id,Name,Area,Area_sq_ft,Shape_Leng,Shape_Area
79,492,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,411.36328347600,9948.93675271000
80,493,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,457.93364250600,10357.10010610000
81,494,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,415.89796900200,7417.98474245000
82,498,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1678.34471727000,32392.31981900000
83,500,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,806.23769825800,38373.50312680000
84,505,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,323.52334266300,6062.91789641000
85,507,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,428.19329084800,9761.02052568000
86,508,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,671.05362203300,20130.49624950000
87,510,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,1386.00094861000,42801.62215320000
88,511,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,371.98992997900,8693.81726011000
89,512,1180,"1180: Residential, rural - one unit on 2 or more acres",1000,Urban and Built-Up,1100,Residential Low Density,1180,"1180: Residential, rural - one unit on 2 or more acres",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,384.33880956100,8671.10409998000
