"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Phosphorus_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Phosphorus_DL","Molybdenum_XGB-PCA","Phosphorus","Molybdenum","DL","XGB-PCA"
"Calcium_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Calcium_RF-PCA","Molybdenum_XGB-PCA","Calcium","Molybdenum","RF-PCA","XGB-PCA"
"Calcium_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Calcium_DL","Molybdenum_XGB-PCA","Calcium","Molybdenum","DL","XGB-PCA"
"Sulfate_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Sulfate_PLS","Molybdenum_XGB-PCA","Sulfate","Molybdenum","PLS","XGB-PCA"
"Sulfate_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Sulfate_XGB-PCA","Molybdenum_XGB-PCA","Sulfate","Molybdenum","XGB-PCA","XGB-PCA"
"Sulfate_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Sulfate_DL","Molybdenum_XGB-PCA","Sulfate","Molybdenum","DL","XGB-PCA"
"Sulfate_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Sulfate_RF-PCA","Molybdenum_XGB-PCA","Sulfate","Molybdenum","RF-PCA","XGB-PCA"
"Nitrate-N_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Nitrate-N_RF-PCA","Molybdenum_XGB-PCA","Nitrate-N","Molybdenum","RF-PCA","XGB-PCA"
"Nitrate-N_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Nitrate-N_XGB-PCA","Molybdenum_XGB-PCA","Nitrate-N","Molybdenum","XGB-PCA","XGB-PCA"
"Potassium_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Potassium_PLS","Molybdenum_XGB-PCA","Potassium","Molybdenum","PLS","XGB-PCA"
"Nitrate-N_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Nitrate-N_PLS","Molybdenum_XGB-PCA","Nitrate-N","Molybdenum","PLS","XGB-PCA"
"Potassium_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Potassium_RF-PCA","Molybdenum_XGB-PCA","Potassium","Molybdenum","RF-PCA","XGB-PCA"
"Potassium_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Potassium_DL","Molybdenum_XGB-PCA","Potassium","Molybdenum","DL","XGB-PCA"
"Potassium_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Potassium_XGB-PCA","Molybdenum_XGB-PCA","Potassium","Molybdenum","XGB-PCA","XGB-PCA"
