"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Calcium_PLS - Iron_DL",0.322765484134972,"Calcium_PLS","Iron_DL","Calcium","Iron","PLS","DL"
"Calcium_RF-PCA - Iron_DL",0.231560143773371,"Calcium_RF-PCA","Iron_DL","Calcium","Iron","RF-PCA","DL"
"Calcium_XGB-PCA - Iron_DL",0.358230310084868,"Calcium_XGB-PCA","Iron_DL","Calcium","Iron","XGB-PCA","DL"
"Copper_DL - Iron_DL",0.000471729881370377,"Copper_DL","Iron_DL","Copper","Iron","DL","DL"
"Copper_PLS - Iron_DL",0.000938945145893374,"Copper_PLS","Iron_DL","Copper","Iron","PLS","DL"
"Copper_RF-PCA - Iron_DL",0.0135711362324088,"Copper_RF-PCA","Iron_DL","Copper","Iron","RF-PCA","DL"
"Copper_XGB-PCA - Iron_DL",0.00240117079519599,"Copper_XGB-PCA","Iron_DL","Copper","Iron","XGB-PCA","DL"
"Ammonium-N_DL - Iron_PLS",8.43612038035043e-08,"Ammonium-N_DL","Iron_PLS","Ammonium-N","Iron","DL","PLS"
"Ammonium-N_PLS - Iron_PLS",7.23943682913477e-07,"Ammonium-N_PLS","Iron_PLS","Ammonium-N","Iron","PLS","PLS"
"Ammonium-N_RF-PCA - Iron_PLS",7.44819859291098e-08,"Ammonium-N_RF-PCA","Iron_PLS","Ammonium-N","Iron","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Iron_PLS",1.29030287442796e-09,"Ammonium-N_XGB-PCA","Iron_PLS","Ammonium-N","Iron","XGB-PCA","PLS"
"Boron_DL - Iron_PLS",8.836851001277e-10,"Boron_DL","Iron_PLS","Boron","Iron","DL","PLS"
"Boron_PLS - Iron_PLS",6.05037146432739e-07,"Boron_PLS","Iron_PLS","Boron","Iron","PLS","PLS"
"Boron_RF-PCA - Iron_PLS",1.21249621103066e-07,"Boron_RF-PCA","Iron_PLS","Boron","Iron","RF-PCA","PLS"
"Boron_XGB-PCA - Iron_PLS",1.63770070522295e-09,"Boron_XGB-PCA","Iron_PLS","Boron","Iron","XGB-PCA","PLS"
"Calcium_DL - Iron_PLS",0.153130309429299,"Calcium_DL","Iron_PLS","Calcium","Iron","DL","PLS"
"Calcium_PLS - Iron_PLS",0.319090111474227,"Calcium_PLS","Iron_PLS","Calcium","Iron","PLS","PLS"
"Calcium_RF-PCA - Iron_PLS",0.228443146664086,"Calcium_RF-PCA","Iron_PLS","Calcium","Iron","RF-PCA","PLS"
"Calcium_XGB-PCA - Iron_PLS",0.35440367109924,"Calcium_XGB-PCA","Iron_PLS","Calcium","Iron","XGB-PCA","PLS"
"Copper_DL - Iron_PLS",0.00045473429134356,"Copper_DL","Iron_PLS","Copper","Iron","DL","PLS"
"Copper_PLS - Iron_PLS",0.000906839401855714,"Copper_PLS","Iron_PLS","Copper","Iron","PLS","PLS"
"Copper_RF-PCA - Iron_PLS",0.0132185227894599,"Copper_RF-PCA","Iron_PLS","Copper","Iron","RF-PCA","PLS"
"Copper_XGB-PCA - Iron_PLS",0.00232546028562625,"Copper_XGB-PCA","Iron_PLS","Copper","Iron","XGB-PCA","PLS"
"Iron_DL - Iron_PLS",0.495904843125607,"Iron_DL","Iron_PLS","Iron","Iron","DL","PLS"
"Ammonium-N_DL - Iron_RF-PCA",2.93088890738904e-08,"Ammonium-N_DL","Iron_RF-PCA","Ammonium-N","Iron","DL","RF-PCA"
"Ammonium-N_PLS - Iron_RF-PCA",2.71580586697266e-07,"Ammonium-N_PLS","Iron_RF-PCA","Ammonium-N","Iron","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Iron_RF-PCA",2.57660142046352e-08,"Ammonium-N_RF-PCA","Iron_RF-PCA","Ammonium-N","Iron","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Iron_RF-PCA",3.91402094490831e-10,"Ammonium-N_XGB-PCA","Iron_RF-PCA","Ammonium-N","Iron","XGB-PCA","RF-PCA"
"Boron_DL - Iron_RF-PCA",2.64978586049851e-10,"Boron_DL","Iron_RF-PCA","Boron","Iron","DL","RF-PCA"
"Boron_PLS - Iron_RF-PCA",2.25475022455923e-07,"Boron_PLS","Iron_RF-PCA","Boron","Iron","PLS","RF-PCA"
"Boron_RF-PCA - Iron_RF-PCA",4.26577176585796e-08,"Boron_RF-PCA","Iron_RF-PCA","Boron","Iron","RF-PCA","RF-PCA"
"Boron_XGB-PCA - Iron_RF-PCA",5.0043892525698e-10,"Boron_XGB-PCA","Iron_RF-PCA","Boron","Iron","XGB-PCA","RF-PCA"
"Calcium_DL - Iron_RF-PCA",0.1121437508972,"Calcium_DL","Iron_RF-PCA","Calcium","Iron","DL","RF-PCA"
"Calcium_PLS - Iron_RF-PCA",0.253873194165023,"Calcium_PLS","Iron_RF-PCA","Calcium","Iron","PLS","RF-PCA"
"Calcium_RF-PCA - Iron_RF-PCA",0.174613435514998,"Calcium_RF-PCA","Iron_RF-PCA","Calcium","Iron","RF-PCA","RF-PCA"
"Calcium_XGB-PCA - Iron_RF-PCA",0.285844920968039,"Calcium_XGB-PCA","Iron_RF-PCA","Calcium","Iron","XGB-PCA","RF-PCA"
"Copper_DL - Iron_RF-PCA",0.00022469669920176,"Copper_DL","Iron_RF-PCA","Copper","Iron","DL","RF-PCA"
"Copper_PLS - Iron_RF-PCA",0.00046437525307054,"Copper_PLS","Iron_RF-PCA","Copper","Iron","PLS","RF-PCA"
"Copper_RF-PCA - Iron_RF-PCA",0.00793618770419194,"Copper_RF-PCA","Iron_RF-PCA","Copper","Iron","RF-PCA","RF-PCA"
"Copper_XGB-PCA - Iron_RF-PCA",0.00125400662258722,"Copper_XGB-PCA","Iron_RF-PCA","Copper","Iron","XGB-PCA","RF-PCA"
"Iron_DL - Iron_RF-PCA",0.41981318997475,"Iron_DL","Iron_RF-PCA","Iron","Iron","DL","RF-PCA"
"Iron_PLS - Iron_RF-PCA",0.423829512928807,"Iron_PLS","Iron_RF-PCA","Iron","Iron","PLS","RF-PCA"
"Ammonium-N_DL - Iron_XGB-PCA",1.15048742471869e-08,"Ammonium-N_DL","Iron_XGB-PCA","Ammonium-N","Iron","DL","XGB-PCA"
"Ammonium-N_PLS - Iron_XGB-PCA",1.13872837083027e-07,"Ammonium-N_PLS","Iron_XGB-PCA","Ammonium-N","Iron","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Iron_XGB-PCA",1.00770096433865e-08,"Ammonium-N_RF-PCA","Iron_XGB-PCA","Ammonium-N","Iron","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Iron_XGB-PCA",1.36743232144364e-10,"Ammonium-N_XGB-PCA","Iron_XGB-PCA","Ammonium-N","Iron","XGB-PCA","XGB-PCA"
"Boron_DL - Iron_XGB-PCA",9.16611299255738e-11,"Boron_DL","Iron_XGB-PCA","Boron","Iron","DL","XGB-PCA"
"Boron_PLS - Iron_XGB-PCA",9.40042434441779e-08,"Boron_PLS","Iron_XGB-PCA","Boron","Iron","PLS","XGB-PCA"
"Boron_RF-PCA - Iron_XGB-PCA",1.69266299169542e-08,"Boron_RF-PCA","Iron_XGB-PCA","Boron","Iron","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Iron_XGB-PCA",1.7594150306705e-10,"Boron_XGB-PCA","Iron_XGB-PCA","Boron","Iron","XGB-PCA","XGB-PCA"
"Calcium_DL - Iron_XGB-PCA",0.0838028119987381,"Calcium_DL","Iron_XGB-PCA","Calcium","Iron","DL","XGB-PCA"
"Calcium_PLS - Iron_XGB-PCA",0.204094969538951,"Calcium_PLS","Iron_XGB-PCA","Calcium","Iron","PLS","XGB-PCA"
"Calcium_RF-PCA - Iron_XGB-PCA",0.13548701471139,"Calcium_RF-PCA","Iron_XGB-PCA","Calcium","Iron","RF-PCA","XGB-PCA"
"Calcium_XGB-PCA - Iron_XGB-PCA",0.232604387009148,"Calcium_XGB-PCA","Iron_XGB-PCA","Calcium","Iron","XGB-PCA","XGB-PCA"
